product,price,rating,rating_count,url
"Dell Inspiron 3502 15.6"" (39.62 cms) HD Display Laptop (Pentium Silver N5030 / 4GB / 256GB SSD / Integrated Graphics / Win 10 + MSO / Accent Black) D560427WIN9BE","40,126",4.2,230,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A0141832UF2TC61HAIQB&url=%2FDell-Inspiron-Integrated-Graphics-D560427WIN9BE%2Fdp%2FB08X4N3DW2%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1632861360%26s%3Dcomputers%26sr%3D1-1-spons%26psc%3D1&qualifier=1632861360&id=3370110682853882&widgetName=sp_atf
"HP 15 (2021) AMD Ryzen 3-3250 8 GB RAM, 1TB HDD + 256GB SSD, 15.6 inches FHD Screen, Windows 10, MS Office Thin & Light Laptop, 1.82kg (15s-gr0012AU)","42,499",4.2,"1,725",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A10157921O2HX91CZSTLV&url=%2FHP-3-3250-Laptop-Windows-15s-gr0012AU%2Fdp%2FB08T6THSMQ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1632861360%26s%3Dcomputers%26sr%3D1-2-spons%26psc%3D1&qualifier=1632861360&id=3370110682853882&widgetName=sp_atf
"Acer Aspire 3 AMD Athlon Silver 3050U Dual-core Processor 15.6"" (39.6 cms) Laptop - (4 GB/1TB HDD/Windows 10 Home/AMD Radeon Graphics /1.9Kg/Silver) A315-23","32,500",3.5,7,https://www.amazon.in//Acer-Aspire-Athlon-Dual-core-Processor/dp/B09F9Q17XT/ref=sr_1_3?dchild=1&keywords=laptop&qid=1632861360&qsid=261-4995487-1177051&s=computers&sr=1-3&sres=B09F9Q17XT%2CB08X4N3DW2%2CB08C5W6PL2%2CB09F32YWST%2CB0924PSV78%2CB08HJZHTM1%2CB08HJYFZ14%2CB097RKZYGS%2CB093VZC5X9%2CB09F3VKNWB%2CB08T6THSMQ%2CB0999BTTKZ%2CB095JY5B3F%2CB08JCP96XL%2CB094XJPQ6N%2CB08JCDHPGF%2CB09D3B7NX9%2CB098XL1SY5%2CB08YRNPTM2%2CB09F3NL1RT&srpt=NOTEBOOK_COMPUTER
"Dell Inspiron 3502 15.6"" (39.62 cms) HD Display Laptop (Pentium Silver N5030 / 4GB / 256GB SSD / Integrated Graphics / Win 10 + MSO / Accent Black) D560427WIN9BE","40,126",4.2,230,https://www.amazon.in//Dell-Inspiron-Integrated-Graphics-D560427WIN9BE/dp/B08X4N3DW2/ref=sr_1_4?dchild=1&keywords=laptop&qid=1632861360&qsid=261-4995487-1177051&s=computers&sr=1-4&sres=B09F9Q17XT%2CB08X4N3DW2%2CB08C5W6PL2%2CB09F32YWST%2CB0924PSV78%2CB08HJZHTM1%2CB08HJYFZ14%2CB097RKZYGS%2CB093VZC5X9%2CB09F3VKNWB%2CB08T6THSMQ%2CB0999BTTKZ%2CB095JY5B3F%2CB08JCP96XL%2CB094XJPQ6N%2CB08JCDHPGF%2CB09D3B7NX9%2CB098XL1SY5%2CB08YRNPTM2%2CB09F3NL1RT&srpt=NOTEBOOK_COMPUTER
"HP Chromebook 14-inch (35.56 cms) Thin & Light Touchscreen Laptop (Celeron N4020/4GB/64GB eMMC + 256GB Expandable Storage/Chrome OS/1.46 kgs Light/ Mineral Silver), 14a-na0003TU","27,990",3.8,785,https://www.amazon.in//HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2/ref=sr_1_5?dchild=1&keywords=laptop&qid=1632861360&qsid=261-4995487-1177051&s=computers&sr=1-5&sres=B09F9Q17XT%2CB08X4N3DW2%2CB08C5W6PL2%2CB09F32YWST%2CB0924PSV78%2CB08HJZHTM1%2CB08HJYFZ14%2CB097RKZYGS%2CB093VZC5X9%2CB09F3VKNWB%2CB08T6THSMQ%2CB0999BTTKZ%2CB095JY5B3F%2CB08JCP96XL%2CB094XJPQ6N%2CB08JCDHPGF%2CB09D3B7NX9%2CB098XL1SY5%2CB08YRNPTM2%2CB09F3NL1RT&srpt=NOTEBOOK_COMPUTER
"RDP ThinBook 1010 - Intel Celeron Quad Core Processor, 4GB RAM, 64GB Storage, Windows 10 Pro, 14.1” HD Screen","19,990",3.3,274,https://www.amazon.in//RDP-ThinBook-1010-Celeron-Processor/dp/B0924PSV78/ref=sr_1_7?dchild=1&keywords=laptop&qid=1632861360&qsid=261-4995487-1177051&s=computers&sr=1-7&sres=B09F9Q17XT%2CB08X4N3DW2%2CB08C5W6PL2%2CB09F32YWST%2CB0924PSV78%2CB08HJZHTM1%2CB08HJYFZ14%2CB097RKZYGS%2CB093VZC5X9%2CB09F3VKNWB%2CB08T6THSMQ%2CB0999BTTKZ%2CB095JY5B3F%2CB08JCP96XL%2CB094XJPQ6N%2CB08JCDHPGF%2CB09D3B7NX9%2CB098XL1SY5%2CB08YRNPTM2%2CB09F3NL1RT&srpt=NOTEBOOK_COMPUTER
"ASUS VivoBook 14 2020 AMD Ryzen 3 3250U 14 inches Full HD, T&L Business Laptop (4GB RAM/1TB HDD/Integrated Graphics/Windows 10/Slate Grey/LED Backlit LCD/1.6 kg) M415DA-EB301T","31,990",3.8,163,https://www.amazon.in//ASUS-VivoBook-Integrated-Graphics-M415DA-EB301T/dp/B097RKZYGS/ref=sr_1_10?dchild=1&keywords=laptop&qid=1632861360&qsid=261-4995487-1177051&s=computers&sr=1-10&sres=B09F9Q17XT%2CB08X4N3DW2%2CB08C5W6PL2%2CB09F32YWST%2CB0924PSV78%2CB08HJZHTM1%2CB08HJYFZ14%2CB097RKZYGS%2CB093VZC5X9%2CB09F3VKNWB%2CB08T6THSMQ%2CB0999BTTKZ%2CB095JY5B3F%2CB08JCP96XL%2CB094XJPQ6N%2CB08JCDHPGF%2CB09D3B7NX9%2CB098XL1SY5%2CB08YRNPTM2%2CB09F3NL1RT&srpt=NOTEBOOK_COMPUTER
"HP 14 (2021) 11th Gen Intel Core i3 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-Inch (35.6 cm) FHD Screen, Windows 10, MS Office, (14s- dy2501tu)","41,890",4.2,731,https://www.amazon.in//gp/bestsellers/computers/22963796031/ref=sr_bs_10_22963796031_1
"(Renewed) HP ProBook 640 G1 14-inch Laptop (Core i5 4th Gen/8GB Ram (Upgradable to 16Gb )/500gb Hdd /Windows 10 Pro/ 4 GB Intel HD Graphics,Wifi, Webcam) ( 6 Months Onsite Warranty )","28,999",5.0,1,https://www.amazon.in//HP-640-Upgradable-Graphics-Warranty/dp/B09F3VKNWB/ref=sr_1_12?dchild=1&keywords=laptop&qid=1632861360&qsid=261-4995487-1177051&s=computers&sr=1-12&sres=B09F9Q17XT%2CB08X4N3DW2%2CB08C5W6PL2%2CB09F32YWST%2CB0924PSV78%2CB08HJZHTM1%2CB08HJYFZ14%2CB097RKZYGS%2CB093VZC5X9%2CB09F3VKNWB%2CB08T6THSMQ%2CB0999BTTKZ%2CB095JY5B3F%2CB08JCP96XL%2CB094XJPQ6N%2CB08JCDHPGF%2CB09D3B7NX9%2CB098XL1SY5%2CB08YRNPTM2%2CB09F3NL1RT&srpt=NOTEBOOK_COMPUTER
"HP 15 (2021) AMD Ryzen 3-3250 8 GB RAM, 1TB HDD + 256GB SSD, 15.6 inches FHD Screen, Windows 10, MS Office Thin & Light Laptop, 1.82kg (15s-gr0012AU)","42,499",4.2,"1,725",https://www.amazon.in//HP-3-3250-Laptop-Windows-15s-gr0012AU/dp/B08T6THSMQ/ref=sr_1_13?dchild=1&keywords=laptop&qid=1632861360&qsid=261-4995487-1177051&s=computers&sr=1-13&sres=B09F9Q17XT%2CB08X4N3DW2%2CB08C5W6PL2%2CB09F32YWST%2CB0924PSV78%2CB08HJZHTM1%2CB08HJYFZ14%2CB097RKZYGS%2CB093VZC5X9%2CB09F3VKNWB%2CB08T6THSMQ%2CB0999BTTKZ%2CB095JY5B3F%2CB08JCP96XL%2CB094XJPQ6N%2CB08JCDHPGF%2CB09D3B7NX9%2CB098XL1SY5%2CB08YRNPTM2%2CB09F3NL1RT&srpt=NOTEBOOK_COMPUTER
